id,name,short_name,acronym,coach_name,stadium_id,stadium_name,stadium_city,stadium_capacity,area_name
1668,FBC Melgar,,,,1356,Estadio Monumental Virgen de Chapi,Arequipa,60000.0,
2295,Asociación Deportiva Tarma,,,,1357,Estadio Huancayo,Huancayo,17000.0,
1669,CD Sport Huancayo,,,,1357,Estadio Huancayo,Huancayo,17000.0,
2066,Club Cienciano,,,,1358,Estadio Inca Garcilaso de la Vega,Cusco,22000.0,
1671,Cusco Fútbol Club,,,,1358,Estadio Inca Garcilaso de la Vega,Cusco,22000.0,
2898,Club Deportivo Garcilaso,,,,1358,Estadio Inca Garcilaso de la Vega,Cusco,22000.0,
2068,Academia Deportiva Cantolao,,,,1362,Estadio Miguel Grau,Piura,25000.0,
1670,Club Atlético Grau,,,,1362,Estadio Miguel Grau,Piura,25000.0,
1650,Club Universitario de Deportes,,,,1369,Estadio Monumental U,Lima,80093.0,
1645,Deportivo Binacional,,,,1375,Estadio Guillermo Briceño Rosamedina,Juliaca,20030.0,
1651,Club Alianza Lima,,,,1381,Estadio Alejandro Villanueva,La Victoria,33938.0,
1756,CSD Carlos A. Mannucci,,,,1431,Estadio Mansiche,Trujillo,25036.0,
1747,CD Universidad César Vallejo,,,,1431,Estadio Mansiche,Trujillo,25036.0,
2071,CD Universidad San Martín de Porres,,,,1367,Estadio Alberto Gallardo,Lima,19000.0,
1635,Sporting Cristal,,,,1367,Estadio Alberto Gallardo,Lima,19000.0,
1749,Ayacucho FC,,,,1433,Estadio Ciudad de Cumaná,Ayacucho,15000.0,
1755,CCyD Universidad Técnica de Cajamarca,,,,1439,Estadio Heroes de San Ramon,Cajamarca,18000.0,
5618,Fútbol Club Cajamarca,,,,1439,Estadio Heroes de San Ramon,Cajamarca,18000.0,
2067,Club Centro Deportivo Municipal,,,,1908,Iván Elías Moreno,Villa El Salvador,,
2065,Sport Boys Association,,,,1853,Estadio Miguel Grau,Callao,15000.0,
2069,Club Social Deportivo Alianza Universidad,,,,1854,Estadio Heraclio Tapia,Huanuco,25000.0,
2070,Club Alianza Atlético Sullana,,,,1855,Estadio Campeones Del 36,Sullana,8000.0,
2110,FC Carlos Stein,,,,1872,Estadio Carlos A. Olivares,Guadalupe,12000.0,
2901,CD Unión Comercio,,,,2658,Estadio Carlos Vidaurre García,Tarapoto,12000.0,
3428,CD Comerciantes Unidos,,,,3044,Estadio Juan Maldonado Gamarra,Cutervo,8000.0,
3429,CD Los Chankas CYC,,,,3045,Estadio Los Chankas,Andahuaylas,10000.0,
4582,ADC Juan Pablo II College,,,,5693,Estadio de la Juventud,Chongoyape,,
5619,Club Deportivo Moquegua,,,,7634, Estadio 25 de Noviembre.,Moquegua,21000.0,
